"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Heidelberg University","OH","Private not-for-profit, 4-year or above","1128","185",622303,0,0,3154336,3359379,3121865,6781,1835388,NA,NA,NA
"Helena College University of Montana","MT","Public, 2-year","1481","NULL",242136,0,0,1464597,1716757,153587,0,1888362.66,NA,NA,NA
"Helene Fuld College of Nursing","NY","Private not-for-profit, 4-year or above","457","NULL",0,0,0,930837,1899453,0,0,554605.39,NA,NA,NA
"Helms College","GA","Private not-for-profit, 2-year","116","NULL",0,0,0,730400,1180452,181758,0,1243575.23,NA,NA,NA
"Henderson Community College","KY","Public, 2-year","2000","NULL",0,0,0,945848,1039286,6100,0,2544198.75,NA,NA,NA
"Henderson State University","AR","Public, 4-year or above","3230","428",1758435,242137,0,4380448,9110885,1257805,187060,6407033.37,NA,NA,NA
"Hendrix College","AR","Private not-for-profit, 4-year or above","1322","11",0,1198187,0,1946578,1975121,2191086,16150,1546560,NA,NA,NA
"Hennepin Technical College","MN","Public, 2-year","5985","NULL",1405764,0,0,4252214,6724967,5647,0,6987294,NA,NA,NA
"Henry Ford College","MI","Public, 4-year or above","13790","NULL",0,0,0,10000990,10002346,21648,0,24225471.97,NA,NA,NA
"Heritage Christian University","AL","Private not-for-profit, 4-year or above","62","34",0,0,0,5500,3500,0,0,83994.09,NA,7392,4871
"Heritage University","WA","Private not-for-profit, 4-year or above","861","385",2233002,242135,76885,1545166,5116602,69339,1843059,2825960,NA,NA,NA
"Herkimer County BOCES-Practical Nursing Program","NY","Public, less-than 2-year","120","NULL",0,0,0,106290,175365,12100,0,315602.05,NA,NA,NA
"Herkimer County Community College","NY","Public, 2-year","3259","NULL",0,0,0,2945099,3190887,747230,0,5380279.57,NA,NA,NA
"Hesston College","KS","Private not-for-profit, 4-year or above","428","NULL",0,0,0,1016359,918465,690607,0,658870,NA,NA,NA
"Hibbing Community College","MN","Public, 2-year","1302","NULL",1841991,0,0,1249247,1736774,30541,0,1925966.98,NA,NA,NA
"High Plains Technology Center","OK","Public, less-than 2-year","269","NULL",0,0,0,NA,NA,NA,NA,146874.56,NA,NA,NA
"High Point University","NC","Private not-for-profit, 4-year or above","4208","202",1214275,680347,0,5401635,14419573,20601102,7968796,2144190,NA,NA,NA
"High Tech High Graduate School of Education","CA","Private not-for-profit, 4-year or above","NULL","33",0,0,0,0,71069,0,0,NA,NA,NA,5000
"Highland Community College","IL","Public, 2-year","1730","NULL",680663,0,17571.44,650123,428251,14247,0,2892151.41,NA,NA,NA
"Highland Community College","KS","Public, 2-year","3217","NULL",242136,0,0,1645198,1471470,19458,0,3137263,NA,NA,NA
"Highline College","WA","Public, 4-year or above","6443","NULL",950319,337537,0,943350,1071140,0,0,6987960.53,NA,272581,161413
"Hilbert College","NY","Private not-for-profit, 4-year or above","960","58",0,0,0,1875025,2406111,964492,0,1487116,NA,NA,NA
"Hill College","TX","Public, 2-year","4023","NULL",0,0,0,1917805,2833191,25273,0,5194064.46,NA,NA,NA
"Hillsborough Community College","FL","Public, 2-year","27298","NULL",349709,415382,0,16293521,21064175,328326,0,48102531.18,NA,NA,NA
"Hillyard Technical Center","MO","Public, 2-year","149","NULL",0,0,0,150542,240235,6000,0,220834.13,NA,NA,NA
"Hinds Community College","MS","Public, 2-year","12021","NULL",8183331.92,0,0,13298436,10469157,96528,0,26869441.87,NA,NA,NA
"Hiram College","OH","Private not-for-profit, 4-year or above","1235","22",0,0,0,2556919,2463912,2095299,0,2088988.3,NA,NA,NA
"Hiwassee College","TN","Private not-for-profit, 4-year or above","382","NULL",657464.97,0,0,743689,555842,475090,0,817662,NA,NA,NA
"Hobart Institute of Welding Technology","OH","Private not-for-profit, less-than 2-year","592","NULL",0,0,9910,676208,662864,1668815,0,731326,NA,NA,NA
"Hobart William Smith Colleges","NY","Private not-for-profit, 4-year or above","2421","7",39999.49,725365.71,0,4125183,4193563,5756275,7000,2074170,NA,NA,NA
"Hobe Sound Bible College","FL","Private not-for-profit, 4-year or above","251","NULL",0,0,0,NA,NA,NA,NA,430814.53,NA,NA,NA
"Hocking College","OH","Public, 2-year","3474","NULL",563460.69,0,0,3825675,4735571,1227329,0,5365010.36,NA,NA,NA
"Hodges University","FL","Private not-for-profit, 4-year or above","1688","236",0,0,0,2311557,4946822,61751,44608,3834029.2,NA,NA,NA
"Hofstra University","NY","Private not-for-profit, 4-year or above","6904","3990",2241458,1378876.55,130495.22,10952384,49693501,38447577,29096180,7161709.08,NA,NA,NA
"Hollins University","VA","Private not-for-profit, 4-year or above","596","163",0,0,0,1677527,3161371,1714282,110220,1229938.99,NA,NA,NA
"Holmes Community College","MS","Public, 2-year","5797","NULL",311848,0,0,2664531,3187629,0,0,12994956.09,NA,173904,180102
"Holy Apostles College and Seminary","CT","Private not-for-profit, 4-year or above","72","330",0,0,0,92537,353487,0,0,173789,NA,NA,NA
"Holy Cross College","IN","Private not-for-profit, 4-year or above","492","NULL",0,0,1305145,599957,728326,489835,0,687588,NA,NA,NA
"Holy Family University","PA","Private not-for-profit, 4-year or above","1985","667",0,0,0,5206347,15368123,2901507,25569,3442033.98,164257,179617,154361
"Holy Name Medical Center School of Nursing","NJ","Private not-for-profit, 2-year","147","NULL",0,0,0,434313,700546,45810,0,319619,NA,NA,NA
"Holy Names University","CA","Private not-for-profit, 4-year or above","753","393",1624842,0,0,1536256,5175229,1549078,326055,1260234,NA,NA,NA
"Holyoke Community College","MA","Public, 2-year","6604","NULL",886794,0,0,2990836,2849511,38744,0,10577704.18,NA,NA,NA
"Homestead Schools","CA","Private not-for-profit, 4-year or above","252","NULL",0,0,0,716900,1133489,95650,0,937244,NA,NA,NA
"Honolulu Community College","HI","Public, 2-year","4144","NULL",1046102,0,0,785510,895441,18408,0,3063009.21,NA,NA,NA
"Hood College","MD","Private not-for-profit, 4-year or above","1359","1011",240767,755500,35578.88,2884123,4719548,2774601,74247,1890747,NA,NA,NA
"Hood Theological Seminary","NC","Private not-for-profit, 4-year or above","NULL","156",0,0,0,0,1589455,0,6000,NA,NA,NA,NA
"Hope College","MI","Private not-for-profit, 4-year or above","3455","NULL",444046,1566597,0,5876688,4899654,5959945,0,2614779,NA,NA,NA
"Hope International University","CA","Private not-for-profit, 4-year or above","856","427",0,0,0,1249860,4033181,668543,311769,1845105.25,NA,74202,105958
"Hopkinsville Community College","KY","Public, 2-year","3567","NULL",669740,0,0,1666563,1251788,1300,0,5293117.86,NA,NA,NA
"Horizon University","CA","Private not-for-profit, 4-year or above","37","NULL",0,0,0,14854,18317,0,0,16438,NA,NA,NA
"Horry-Georgetown Technical College","SC","Public, 2-year","7335","NULL",944881.08,0,0,6909694,9413224,728573,0,8571259,NA,NA,NA
"Houghton College","NY","Private not-for-profit, 4-year or above","1043","20",0,0,0,2620136,2087986,1691612,0,1879069,NA,NA,NA
"Houston Baptist University","TX","Private not-for-profit, 4-year or above","2288","910",1064140,0,0,4880869,12620654,3927191,163772,5182512.69,NA,NA,NA
"Houston Community College","TX","Public, 2-year","58276","NULL",2194932,0,5600,41176302,56898267,124926,0,75143131.43,NA,1241817,1198711
"Houston Graduate School of Theology","TX","Private not-for-profit, 4-year or above","NULL","154",0,0,0,1750,1292104,0,52435,NA,NA,NA,NA
"Howard College","TX","Public, 2-year","3756","NULL",476258.86,0,0,1054256,1283079,25855,0,5711924.61,NA,NA,NA
"Howard Community College","MD","Public, 2-year","9920","NULL",376602,250000,450,3448573,4163608,145716,0,10297566,NA,NA,NA
"Howard Payne University","TX","Private not-for-profit, 4-year or above","1073","84",0,0,0,2411170,2778839,1428899,0,1848453,NA,NA,NA
"Howard University","DC","Private not-for-profit, 4-year or above","7013","3119",13716833.44,19580554.42,572503.86,10696266,51801516,35942865,38281747,8440036.02,NA,NA,NA
"Howell Cheney THS/CT Aero Tech School","CT","Public, 2-year","67","NULL",0,0,0,NA,NA,NA,NA,12968,NA,NA,NA
"Hudson County Community College","NJ","Public, 2-year","9203","NULL",0,0,0,2367318,1937687,140740,0,24587753.08,NA,314031,270434
"Hudson Valley Community College","NY","Public, 2-year","12177","NULL",1500000,0,138161.49,6335647,6793204,365696,0,12219633.84,NA,NA,NA
"Hult International Business School","MA","Private not-for-profit, 4-year or above","NULL","1158",0,0,0,143500,2183498,160431,3443811,153358,NA,NA,NA
"Humboldt State University","CA","Public, 4-year or above","7983","531",10903592.36,269013,96422.34,15527723,15637735,3189558,109602,21076432,NA,NA,NA
"Humphreys University-Stockton and Modesto Campuses","CA","Private not-for-profit, 4-year or above","662","127",0,0,0,1111480,3795866,284041,97068,1141189.21,NA,NA,NA
"Huntingdon College","AL","Private not-for-profit, 4-year or above","1160","NULL",0,0,0,2909468,3100327,2627786,0,2377652,NA,NA,NA
"Huntingdon County Career and Technology Center","PA","Public, less-than 2-year","28","NULL",0,0,0,57496,60907,9800,0,50720,NA,NA,NA
"Huntington University","IN","Private not-for-profit, 4-year or above","1074","261",0,0,0,2347701,5862404,1482244,1271749,1624920,NA,NA,NA
"Huntsville Bible College","AL","Private not-for-profit, 4-year or above","121","28",0,0,0,275612,637491,0,0,298117,NA,NA,NA
"Husson University","ME","Private not-for-profit, 4-year or above","2704","732",-1771,500000,0,7677980,18681296,3644514,2326852,5120719,NA,NA,NA
"Huston-Tillotson University","TX","Private not-for-profit, 4-year or above","975","55",2368574,0,0,2772416,3141763,778277,0,3317418.13,NA,NA,NA
"Hutchinson Community College","KS","Public, 2-year","5718","NULL",216135,0,0,2736124,3266824,113543,0,6970297.75,NA,NA,NA
"Hypnosis Motivation Institute","CA","Private not-for-profit, less-than 2-year","254","NULL",0,0,0,274820,497535,7218,0,237402,NA,NA,NA
"Icahn School of Medicine at Mount Sinai","NY","Private not-for-profit, 4-year or above","NULL","1150",57641151,288991924,48415730.36,0,13310236,0,4557292,NA,NA,NA,NA
"Idaho State University","ID","Public, 4-year or above","11540","1878",4301425.82,2811662.01,167462.65,14054807,32628218,1211190,5318387,15993403,NA,NA,NA
"Iliff School of Theology","CO","Private not-for-profit, 4-year or above","NULL","340",0,0,0,0,2391680,0,351205,NA,NA,NA,NA
"Ilisagvik College","AK","Public, 2-year","243","NULL",2791263,215059,0,NA,NA,NA,NA,85109.37,NA,NA,NA
"Illinois Central College","IL","Public, 2-year","10296","NULL",1493932,0,0,2489119,2213053,101596,0,8959482.62,NA,NA,NA
"Illinois College","IL","Private not-for-profit, 4-year or above","957","3",676801,298548,0,2578882,2274097,1597937,0,1887969,NA,NA,NA
"Illinois Institute of Technology","IL","Private not-for-profit, 4-year or above","3099","4803",1475232.53,21932199,0,4820282,18932136,4980563,10151732,4187447.17,NA,NA,NA
"Illinois State University","IL","Public, 4-year or above","18155","2334",11443599.28,6433610.85,31937.74,34908492,38993917,30903501,103963,25865689.47,NA,NA,NA
"Illinois Valley Community College","IL","Public, 2-year","3525","NULL",308892,0,0,415537,442932,0,0,3646012.06,NA,NA,NA
"Illinois Wesleyan University","IL","Private not-for-profit, 4-year or above","1893","NULL",0,4659261,0,3768832,3033671,4761033,0,1685737,NA,NA,NA
"Immaculata University","PA","Private not-for-profit, 4-year or above","2138","1171",0,0,0,3116443,10223744,3176139,1352837,1629286,NA,NA,NA
"Immokalee Technical College","FL","Public, 2-year","461","NULL",0,0,0,NA,NA,NA,NA,617620.25,NA,NA,NA
"Imperial Valley College","CA","Public, 2-year","7792","NULL",2320180,0,0,NA,NA,NA,NA,21768224,NA,NA,NA
"Independence Community College","KS","Public, 2-year","945","NULL",628441,0,0,520782,391828,53747,0,1798992,NA,NA,NA
"Indian Capital Technology Center-Muskogee","OK","Public, 2-year","727","NULL",0,0,0,NA,NA,NA,NA,1532698.01,NA,NA,NA
"Indian Hills Community College","IA","Public, 2-year","4412","NULL",1737611,598040,0,3487300,3986354,298555,0,5324473.04,NA,NA,NA
"Indian River State College","FL","Public, 4-year or above","17665","NULL",1903602,19050,39731.88,2763498,1775657,55600,0,25329748.82,NA,NA,NA
"Indiana County Technology Center","PA","Public, less-than 2-year","132","NULL",0,0,0,192623,335358,11398,0,259668,NA,NA,NA
"Indiana Institute of Technology","IN","Private not-for-profit, 4-year or above","6541","670",0,0,0,15470438,26598526,2665391,340471,16961067.63,NA,NA,NA
"Indiana State University","IN","Public, 4-year or above","10881","2327",1191303,1004323,0,21159885,37117598,13161241,1458599,21805695.6,NA,NA,NA
"Indiana University of Pennsylvania-Main Campus","PA","Public, 4-year or above","12295","2238",3171942.07,2056157,0,25112905,39938696,22563391,1592890,17059730.15,NA,NA,NA
"Indiana University-Bloomington","IN","Public, 4-year or above","36419","10150",76548516.07,236781170.73,9062231.25,31831984,83236663,42726228,13721787,29243241,NA,NA,NA
"Indiana University-Purdue University-Fort Wayne","IN","Public, 4-year or above","12674","559",0,0,0,10288446,13270093,1776110,23718,13020769.34,NA,NA,NA
"Indiana University-Purdue University-Indianapolis","IN","Public, 4-year or above","22525","8120",0,0,849636.69,29866247,133974387,10410890,38853044,36487357,NA,NA,NA
"Indiana Wesleyan University-Marion","IN","Private not-for-profit, 4-year or above","10392","4543",1288382,150000,0,21587912,90181339,6105079,1185910,19973363.07,NA,NA,NA
"Institute for Clinical Social Work","IL","Private not-for-profit, 4-year or above","NULL","116",0,0,0,0,520750,0,266050,NA,NA,NA,NA
"Institute for Doctoral Studies in the Visual Arts","ME","Private not-for-profit, 4-year or above","NULL","64",0,0,0,0,846466,0,861229,NA,NA,NA,NA
"Institute of American Indian and Alaska Native Culture and Arts Development","NM","Public, 4-year or above","449","58",1904047,185000,0,NA,NA,NA,NA,937394,NA,NA,NA
"Institute of World Politics","DC","Private not-for-profit, 4-year or above","NULL","107",0,0,0,0,1209444,0,877071,NA,NA,NA,NA
"International Baptist College and Seminary","AZ","Private not-for-profit, 4-year or above","56","17",0,0,0,67910,26418,0,0,127093,NA,5000,NA
"Inver Hills Community College","MN","Public, 2-year","5958","NULL",869495,0,0,3298314,4412330,20098,0,4518535,NA,NA,NA
"Iona College","NY","Private not-for-profit, 4-year or above","3301","706",0,9938,0,6257786,11902474,14370031,1555325,4736948,NA,NA,NA
"Iowa Central Community College","IA","Public, 2-year","5686","NULL",322494,0,0,5967367,8138513,879494,0,9094530.58,NA,NA,NA
"Iowa Lakes Community College","IA","Public, 2-year","2397","NULL",2027023.46,0,0,1668642,2000078,210853,0,2463641.49,NA,NA,NA
"Iowa State University","IA","Public, 4-year or above","28893","5680",33835792.54,78173132.18,66591483.25,41829209,75678471,36876307,2667404,30781761,NA,NA,NA
"Iowa Wesleyan University","IA","Private not-for-profit, 4-year or above","473","2",0,0,0,1613020,1328251,825916,8185,1461807.75,NA,NA,NA
"Iowa Western Community College","IA","Public, 2-year","6547","NULL",591707.51,0,0,6466147,7750650,1134204,0,9382124.59,NA,NA,NA
"Irvine Valley College","CA","Public, 2-year","13156","NULL",350556,500000,0,415121,187906,0,0,10153582,NA,NA,NA
"Isothermal Community College","NC","Public, 2-year","2206","NULL",0,0,0,NA,NA,NA,NA,3078239.24,NA,NA,NA
"Itasca Community College","MN","Public, 2-year","1222","NULL",402506.51,0,0,1171663,1404278,79213,0,1922901.65,NA,NA,NA
"Itawamba Community College","MS","Public, 2-year","5654","NULL",0,0,0,2095355,2078580,32682,0,12256076.01,NA,NA,NA
"Ithaca College","NY","Private not-for-profit, 4-year or above","6124","446",245146,454441,0,12591497,13561812,17358763,2867387,5542406.06,NA,NA,NA
"Ivy Tech Community College","IN","Public, 2-year","90426","NULL",1531171.8,0,53639.93,35542319,30026398,865520,0,109258203.32,NA,NA,NA
"J F Drake State Community and Technical College","AL","Public, 2-year","1062","NULL",1980444,0,0,NA,NA,NA,NA,2327628,NA,NA,NA
