"agency","subagency","institution","contracts","grants"
"Environmental Protection Agency","Environmental Protection Agency","North Carolina State University at Raleigh",36135,249619
"Environmental Protection Agency","Environmental Protection Agency","Oregon State University",53882.12,500000
"Environmental Protection Agency","Environmental Protection Agency","Purdue University-Main Campus",20435,1050619
"Environmental Protection Agency","Environmental Protection Agency","SUNY Buffalo State",20000,NA
"Environmental Protection Agency","Environmental Protection Agency","The University of Texas at Austin",14999,2110616
"Environmental Protection Agency","Environmental Protection Agency","University of California-Berkeley",80000,973385
"Environmental Protection Agency","Environmental Protection Agency","University of California-Davis",2856324.84,1999998
"Environmental Protection Agency","Environmental Protection Agency","University of California-Santa Barbara",-58279.63,NA
"Environmental Protection Agency","Environmental Protection Agency","University of Chicago",43500,NA
"Environmental Protection Agency","Environmental Protection Agency","University of Colorado Boulder",24237.31,NA
"Environmental Protection Agency","Environmental Protection Agency","University of Georgia",-1208.89,122700
"Environmental Protection Agency","Environmental Protection Agency","University of North Carolina at Chapel Hill",3972912.4,5137534
"Environmental Protection Agency","Environmental Protection Agency","University of Northern Iowa",20809.56,100000
"Environmental Protection Agency","Environmental Protection Agency","University of Rhode Island",-676.5,NA
"Environmental Protection Agency","Environmental Protection Agency","University of South Carolina-Beaufort",43100,NA
"Environmental Protection Agency","Environmental Protection Agency","University of Washington",15952.19,232521
"Environmental Protection Agency","Environmental Protection Agency","University of Wisconsin-Madison",112002,572602
"Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","New York Law School",14680,NA
"Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","University of Chicago",1299984.22,NA
"Executive Office of the President","Executive Office of the President","Georgetown University",16800,NA
"Executive Office of the President","Executive Office of the President","Johns Hopkins University",1237087,NA
"Executive Office of the President","Executive Office of the President","Purdue University-Main Campus",42270,NA
"Federal Communications Commission","Federal Communications Commission","University of Chicago",8638,NA
"Federal Trade Commission","Federal Trade Commission","American University",4740,NA
"Federal Trade Commission","Federal Trade Commission","George Mason University",8034,NA
"Federal Trade Commission","Federal Trade Commission","Georgetown University",16450,NA
"Federal Trade Commission","Federal Trade Commission","Mayo Clinic School of Medicine",23600,NA
"General Services Administration","General Services Administration","Rensselaer Polytechnic Institute",95000,NA
"General Services Administration","Office of Government-wide Policy","Carnegie Mellon University",200000,NA
"General Services Administration","Office of the Chief Information Officer","Stanford University",35000,NA
"General Services Administration","Public Buildings Service","Michigan State University",17000,NA
"General Services Administration","Public Buildings Service","Pennsylvania State University",482700.52,NA
"General Services Administration","Public Buildings Service","Sonoma State University",24840,NA
"General Services Administration","Public Buildings Service","The University of Texas at Austin",40595,NA
"General Services Administration","Public Buildings Service","University of Florida",22387.5,NA
"General Services Administration","Public Buildings Service","University of Washington",27000,NA
"Government Accountability Office","GAO, Except Comptroller General","University of Chicago",-280,NA
"International Trade Commission","International Trade Commission","George Mason University",69843.78,NA
"International Trade Commission","International Trade Commission","Purdue University-Main Campus",20435,NA
"Millennium Challenge Corporation","Millennium Challenge Corporation","Columbia University in the City of New York",6350,NA
"Millennium Challenge Corporation","Millennium Challenge Corporation","Georgetown University",-1600,NA
"Millennium Challenge Corporation","Millennium Challenge Corporation","Harvard University",51613,NA
"Millennium Challenge Corporation","Millennium Challenge Corporation","Pardee RAND Graduate School",408566,NA
"Millennium Challenge Corporation","Millennium Challenge Corporation","University of Chicago",-928934.65,NA
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Alfred University",2000,NA
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Arizona State University-Tempe",15113750.28,20097531.14
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","California Institute of Technology",2408656796.65,17537477.24
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","California Polytechnic State University-San Luis Obispo",50317,277997
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Carthage College",20004,1327507
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Case Western Reserve University",6203,1079269.64
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Cleveland Clinic Health System-School of Diagnostic Imaging",17500,NA
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Colorado School of Mines",81000,1546575
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Columbia University in the City of New York",5953800,14620278.69
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Cornell University",2070000,5908020.72
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Dartmouth College",11999,3200731.65
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Embry-Riddle Aeronautical University",5090,1086065.23
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Florida International University",63463,961943.69
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Florida State University",30000,2416308.86
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","George Mason University",50691,4274098.22
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Georgetown University",124914,2603725.86
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Georgia Institute of Technology-Main Campus",9723,11930925.46
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Hampton University",3139600,2848196
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Harvard University",62086511.16,17263426.28
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Iowa State University",26183,1675297.71
