Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Western Seminary,OR,"Private not-for-profit, 4-year or above",-122.605831,45.512344,Multnomah County,NA,NA,1915538
Scioto County Career Technical Center,OH,"Public, less-than 2-year",-82.979481,38.854707,Scioto County,NA,NA,1909907
Miami Valley Career Technology Center,OH,"Public, less-than 2-year",-84.330305,39.845399,Montgomery County,NA,NA,1887170
Pittsburgh Institute of Mortuary Science Inc,PA,"Private not-for-profit, 2-year",-79.930588,40.459318,Allegheny County,NA,NA,1884703
Miles Community College,MT,"Public, 2-year",-105.826609,46.404636,Custer County,NA,NA,1881288
Eastern Suffolk BOCES,NY,"Public, less-than 2-year",-73.239012,40.778309,Suffolk County,NA,NA,1880695
Veeb Nassau County School of Practical Nursing,NY,"Public, less-than 2-year",-73.520569,40.766548,Nassau County,NA,NA,1873707
Tri-County Community College,NC,"Public, 2-year",-83.966476,35.067021,Cherokee County,NA,NA,1871311
University of New Mexico-Valencia County Campus,NM,"Public, 2-year",-106.705371,34.728683,Valencia County,NA,NA,1865857
Tulsa Technology Center,OK,"Public, 2-year",-95.888861,36.11257,Tulsa County,NA,NA,1856294
Crowley's Ridge College,AR,"Private not-for-profit, 4-year or above",-90.58482,36.066239,Greene County,NA,NA,1846189
Pinellas Technical College-St. Petersburg,FL,"Public, 2-year",-82.681534,27.761183,Pinellas County,NA,NA,1843522
Northwestern Connecticut Community College,CT,"Public, 2-year",-73.058734,41.920668,Litchfield County,NA,NA,1837946
Garrett-Evangelical Theological Seminary,IL,"Private not-for-profit, 4-year or above",-87.676721,42.053318,Cook County,NA,NA,1820240
Trinity College of Florida,FL,"Private not-for-profit, 4-year or above",-82.678318,28.194732,Pasco County,NA,NA,1814264
Great Oaks Career Campuses,OH,"Public, less-than 2-year",-84.413556,39.289951,Hamilton County,NA,NA,1813121
VanderCook College of Music,IL,"Private not-for-profit, 4-year or above",-87.629138,41.836833,Cook County,NA,NA,1808587
Greater Johnstown Career and Technology Center,PA,"Public, less-than 2-year",-78.83114,40.272734,Cambria County,NA,NA,1803405
Tennessee College of Applied Technology Nashville,TN,"Public, 2-year",-86.856335,36.132649,Davidson County,NA,NA,1795688
Presidio Graduate School,CA,"Private not-for-profit, 4-year or above",-122.475292,37.80026,San Francisco County,NA,NA,1791885
Nueta Hidatsa Sahnish College,ND,"Public, 4-year or above",-102.472814,47.983311,Mountrail County,NA,NA,1784104
Employment Solutions-College for Technical Education,KY,"Private not-for-profit, 2-year",-84.483707,37.982264,Fayette County,NA,NA,1782221
St Joseph School of Nursing,NH,"Private not-for-profit, 2-year",-71.478977,42.74999,Hillsborough County,NA,NA,1781564
Lassen Community College,CA,"Public, 2-year",-120.631169,40.431327,Lassen County,NA,NA,1780636
Lenape Technical School Practical Nursing Program,PA,"Public, less-than 2-year",-79.521054,40.767446,Armstrong County,NA,NA,1780170
Downey Adult School,CA,"Public, 2-year",-118.115727,33.91965,Los Angeles County,NA,NA,1776183
Arlington Baptist College,TX,"Private not-for-profit, 4-year or above",-97.155661,32.739543,Tarrant County,NA,NA,1754728
Saint Elizabeth College of Nursing,NY,"Private not-for-profit, 2-year",-75.265888,43.082041,Oneida County,NA,NA,1753100
Davis College,NY,"Private not-for-profit, 4-year or above",-75.962421,42.101092,Broome County,NA,NA,1751893
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA,"Public, less-than 2-year",-75.810121,41.262154,Luzerne County,NA,NA,1746939
Everest College-Newport News,VA,"Private not-for-profit, 2-year",-76.46524,37.084342,Newport News City,NA,NA,1742939
Pomeroy College of Nursing at Crouse Hospital,NY,"Private not-for-profit, 2-year",-76.138834,43.042264,Onondaga County,NA,NA,1738084
Appalachian School of Law,VA,"Private not-for-profit, 4-year or above",-82.096426,37.278007,Buchanan County,NA,NA,1731628
Williamsburg Technical College,SC,"Public, 2-year",-79.817984,33.657085,Williamsburg County,NA,NA,1724133
Wayne Finger Lakes BOCES-Practical Nursing Program,NY,"Public, less-than 2-year",-77.081794,43.038167,Wayne County,NA,NA,1720599
Welch College,TN,"Private not-for-profit, 4-year or above",-86.826158,36.134633,Davidson County,NA,NA,1719664
Grossmont-Cuyamaca Community College District,CA,Administrative Unit,-117.007292,32.816054,San Diego County,NA,NA,1713969
Helms College,GA,"Private not-for-profit, 2-year",-83.732701,32.80389,Bibb County,NA,NA,1702527
Lake Forest Graduate School of Management,IL,"Private not-for-profit, 4-year or above",-87.893204,42.243432,Lake County,NA,NA,1696078
Chicago Theological Seminary,IL,"Private not-for-profit, 4-year or above",-87.591178,41.785701,Cook County,NA,NA,1682076
Saint Elizabeth School of Nursing,IN,"Private not-for-profit, 2-year",-86.88081,40.42624,Tippecanoe County,NA,NA,1675152
Tennessee College of Applied Technology-Knoxville,TN,"Public, 2-year",-83.964151,35.957,Knox County,NA,NA,1674489
Aquinas College,TN,"Private not-for-profit, 4-year or above",-86.844214,36.132187,Davidson County,NA,NA,1671474
Acupuncture and Integrative Medicine College-Berkeley,CA,"Private not-for-profit, 4-year or above",-122.267636,37.862754,Alameda County,NA,NA,1667715
Trinity Bible College and Graduate School,ND,"Private not-for-profit, 4-year or above",-98.517906,46.001037,Dickey County,NA,NA,1650509
Charles A Jones Career and Education Center,CA,"Public, 2-year",-121.44111,38.51651,Sacramento County,NA,NA,1647925
Epic Bible College,CA,"Private not-for-profit, 4-year or above",-121.362642,38.645152,Sacramento County,NA,NA,1643020
Central Christian College of the Bible,MO,"Private not-for-profit, 4-year or above",-92.427259,39.395963,Randolph County,NA,NA,1637834
Okaloosa Technical College,FL,"Public, 2-year",-86.613809,30.470338,Okaloosa County,NA,NA,1634481
St Luke's College,IA,"Private not-for-profit, 4-year or above",-96.404922,42.517806,Woodbury County,NA,NA,1633983
Calvary University,MO,"Private not-for-profit, 4-year or above",-94.546238,38.838169,Cass County,NA,NA,1620711
Lincoln Trail College,IL,"Public, 2-year",-87.688839,39.01933,Crawford County,NA,NA,1610466
Butler Tech-D Russel Lee Career Center,OH,"Public, less-than 2-year",-84.49281,39.408939,Butler County,NA,NA,1597627
Cottey College,MO,"Private not-for-profit, 4-year or above",-94.371311,37.836127,Vernon County,NA,NA,1594789
Expertise Cosmetology Institute,NV,"Private not-for-profit, 2-year",-115.164834,36.193798,Clark County,NA,NA,1583695
Southwestern Christian College,TX,"Private not-for-profit, 4-year or above",-96.286747,32.735778,Kaufman County,NA,NA,1583396
Urban College of Boston,MA,"Private not-for-profit, 2-year",-71.064378,42.352944,Suffolk County,NA,NA,1571688
Albany BOCES-Adult Practical Nursing Program,NY,"Public, less-than 2-year",-73.835752,42.745685,Albany County,NA,NA,1564765
Providence Christian College,CA,"Private not-for-profit, 4-year or above",-118.118842,34.172467,Los Angeles County,NA,NA,1563300
Mid-Atlantic Christian University,NC,"Private not-for-profit, 4-year or above",-76.217496,36.303765,Pasquotank County,NA,NA,1550519
Compass College of Cinematic Arts,MI,"Private not-for-profit, 4-year or above",-85.666861,42.96206,Kent County,NA,NA,1549343
Crossroads Bible College,IN,"Private not-for-profit, 4-year or above",-86.039961,39.779662,Marion County,NA,NA,1547009
Franklin Career Institute,NY,"Private not-for-profit, less-than 2-year",-73.627681,40.70867,Nassau County,NA,NA,1542640
Homestead Schools,CA,"Private not-for-profit, 4-year or above",-118.350152,33.808573,Los Angeles County,NA,NA,1537089
Luna Community College,NM,"Public, 2-year",-105.250865,35.616303,San Miguel County,NA,NA,1528135
Soka University of America,CA,"Private not-for-profit, 4-year or above",-117.735344,33.554546,Orange County,NA,NA,1518188
Hood Theological Seminary,NC,"Private not-for-profit, 4-year or above",-80.480643,35.644603,Rowan County,NA,NA,1512986
Tennessee College of Applied Technology-Morristown,TN,"Public, 2-year",-83.299259,36.205155,Hamblen County,NA,NA,1507969
Huntsville Bible College,AL,"Private not-for-profit, 4-year or above",-86.594888,34.750363,Madison County,NA,NA,1505813
John Wesley University,NC,"Private not-for-profit, 4-year or above",-79.998419,35.994259,Guilford County,NA,NA,1501976
Commonwealth Institute of Funeral Service,TX,"Private not-for-profit, 2-year",-95.43016,29.98955,Harris County,NA,NA,1501348
Southeastern Bible College,AL,"Private not-for-profit, 4-year or above",-86.749045,33.378935,Shelby County,NA,NA,1494505
Capital Area School of Practical Nursing,IL,"Public, less-than 2-year",-89.626262,39.718311,Sangamon County,NA,NA,1491916
Institute for Doctoral Studies in the Visual Arts,ME,"Private not-for-profit, 4-year or above",-70.272161,43.65405,Cumberland County,NA,NA,1488042
St Lukes Hospital School of Nursing,PA,"Private not-for-profit, less-than 2-year",-75.392396,40.608185,Lehigh County,NA,NA,1487961
Covenant Theological Seminary,MO,"Private not-for-profit, 4-year or above",-90.451323,38.643066,St. Louis County,NA,NA,1487765
Bethany Global University,MN,"Private not-for-profit, 4-year or above",-93.371754,44.795501,Hennepin County,NA,NA,1486308
Houston Graduate School of Theology,TX,"Private not-for-profit, 4-year or above",-95.448846,29.673594,Harris County,NA,NA,1481024
McDowell Technical Community College,NC,"Public, 2-year",-81.960896,35.65622,Mcdowell County,NA,NA,1472924
Suncoast Technical College,FL,"Public, less-than 2-year",-82.500827,27.285486,Sarasota County,NA,NA,1468582
Wyotech-Daytona,FL,"Private not-for-profit, 2-year",-81.133086,29.349365,Volusia County,NA,NA,1468143
Washington County Community College,ME,"Public, 2-year",-67.243306,45.165537,Washington County,NA,NA,1460241
Eastern Wyoming College,WY,"Public, 2-year",-104.190823,42.079354,Goshen County,NA,NA,1460234
Concordia Theological Seminary,IN,"Private not-for-profit, 4-year or above",-85.10994,41.139321,Allen County,NA,NA,1451337
Adult and Community Education-Hudson,OH,"Public, less-than 2-year",-82.980603,40.012851,Franklin County,NA,NA,1449463
Citizens School of Nursing,PA,"Private not-for-profit, 2-year",-79.766475,40.561509,Westmoreland County,NA,NA,1445666
Reading Hospital School of Health Sciences,PA,"Private not-for-profit, 2-year",-75.95027,40.325701,Berks County,NA,NA,1445004
Western Suffolk BOCES,NY,"Public, 2-year",-73.343689,40.877083,Suffolk County,NA,NA,1438810
O'More College of Design,TN,"Private not-for-profit, 4-year or above",-86.868053,35.920971,Williamson County,NA,NA,1437857
North American University,TX,"Private not-for-profit, 4-year or above",-95.588338,29.646303,Fort Bend County,NA,NA,1431099
Lebanon County Area Vocational Technical School,PA,"Public, less-than 2-year",-76.390376,40.341562,Lebanon County,NA,NA,1419216
Lutheran Theological Seminary at Philadelphia,PA,"Private not-for-profit, 4-year or above",-75.191496,40.061636,Philadelphia County,NA,NA,1414141
LIU Brooklyn,NY,"Private not-for-profit, 4-year or above",-73.980872,40.690134,Kings County,NA,Northeast Conference,1409648
Wisconsin School of Professional Psychology,WI,"Private not-for-profit, 4-year or above",-88.026735,43.105054,Milwaukee County,NA,NA,1409224
Rabbinical College Bobover Yeshiva Bnei Zion,NY,"Private not-for-profit, 4-year or above",-73.98544,40.63192,Kings County,NA,NA,1408483
Maine College of Health Professions,ME,"Private not-for-profit, 2-year",-70.21732,44.100458,Androscoggin County,NA,NA,1407560
Delta Montrose Technical College,CO,"Public, 2-year",-108.031072,38.702524,Delta County,NA,NA,1406608
Tennessee College of Applied Technology-Dickson,TN,"Public, 2-year",-87.366455,36.050549,Dickson County,NA,NA,1405856
Holy Name Medical Center School of Nursing,NJ,"Private not-for-profit, 2-year",-74.010748,40.883076,Bergen County,NA,NA,1399318
Columbia College of Nursing,WI,"Private not-for-profit, 4-year or above",-87.918283,43.097318,Milwaukee County,NA,NA,1395475
Apollo Career Center,OH,"Public, less-than 2-year",-84.14971,40.69222,Allen County,NA,NA,1389791
East San Gabriel Valley Regional Occupational Program,CA,"Public, 2-year",-117.937111,34.077138,Los Angeles County,NA,NA,1389264
New Mexico Military Institute,NM,"Public, 2-year",-104.524876,33.409522,Chaves County,NA,NA,1382008
Rutgers University-Camden,NJ,"Public, 4-year or above",-75.125303,39.948628,Camden County,NA,New Jersey Athletic Conference,1381015
Ecclesia College,AR,"Private not-for-profit, 4-year or above",-94.236643,36.2141,Benton County,NA,NA,1374719
Riverside College of Health Careers,VA,"Private not-for-profit, 2-year",-76.456345,37.035234,Newport News City,NA,NA,1374621
Pinellas Technical College-Clearwater,FL,"Public, 2-year",-82.719064,27.911922,Pinellas County,NA,NA,1373574
Technical Education Center-Osceola,FL,"Public, 2-year",-81.349696,28.298648,Osceola County,NA,NA,1363947
Pennsylvania State System of Higher Education-Central Office,PA,Administrative Unit,-76.904363,40.294887,Dauphin County,NA,NA,1363670
Jewish Theological Seminary of America,NY,"Private not-for-profit, 4-year or above",-73.960287,40.811959,New York County,NA,NA,1357493
Francis Tuttle Technology Center,OK,"Public, less-than 2-year",-97.640672,35.60052,Oklahoma County,NA,NA,1348101
Luther Seminary,MN,"Private not-for-profit, 4-year or above",-93.196754,44.984815,Ramsey County,NA,NA,1345191
Indian Capital Technology Center-Muskogee,OK,"Public, 2-year",-95.311895,35.774921,Muskogee County,NA,NA,1334992
Bethesda University,CA,"Private not-for-profit, 4-year or above",-117.941323,33.842295,Orange County,NA,NA,1325177
Ocean County Vocational-Technical School,NJ,"Public, less-than 2-year",-74.195308,39.983014,Ocean County,NA,NA,1322782
Cape Girardeau Career and Technology Center,MO,"Public, 2-year",-89.56525,37.274138,Cape Girardeau County,NA,NA,1321715
Emily Griffith Technical College,CO,"Public, less-than 2-year",-104.985751,39.74575,Denver County,NA,NA,1303019
Cochran School of Nursing,NY,"Private not-for-profit, 2-year",-73.88629,40.968797,Westchester County,NA,NA,1297999
Won Institute of Graduate Studies,PA,"Private not-for-profit, 4-year or above",-75.154419,40.099259,Montgomery County,NA,NA,1293779
Bramson ORT College,NY,"Private not-for-profit, 2-year",-73.847799,40.721403,Queens County,NA,NA,1293768
Dragon Rises College of Oriental Medicine,FL,"Private not-for-profit, 4-year or above",-82.312769,29.667368,Alachua County,NA,NA,1291836
Southeast Missouri Hospital College of Nursing and Health Sciences,MO,"Private not-for-profit, 4-year or above",-89.54587,37.302453,Cape Girardeau County,NA,NA,1280517
New Brunswick Theological Seminary,NJ,"Private not-for-profit, 4-year or above",-74.449368,40.501314,Middlesex County,NA,NA,1280507
Central Yeshiva Tomchei Tmimim Lubavitz,NY,"Private not-for-profit, 4-year or above",-73.938778,40.669694,Kings County,NA,NA,1280221
George Stone Technical Center,FL,"Public, 2-year",-87.295105,30.488083,Escambia County,NA,NA,1272237
Criswell College,TX,"Private not-for-profit, 4-year or above",-96.778071,32.79369,Dallas County,NA,NA,1268642
Pickaway Ross Joint Vocational School District,OH,"Public, less-than 2-year",-83.002491,39.36235,Ross County,NA,NA,1256022
Tillamook Bay Community College,OR,"Public, 2-year",-123.813624,45.456603,Tillamook County,NA,NA,1251091
Southern California Seminary,CA,"Private not-for-profit, 4-year or above",-116.900531,32.803259,San Diego County,NA,NA,1250770
Phillips School of Nursing at Mount Sinai Beth Israel,NY,"Private not-for-profit, 4-year or above",-73.990936,40.744973,New York County,NA,NA,1243611
Willoughby-Eastlake School of Practical Nursing,OH,"Public, less-than 2-year",-81.447126,41.653845,Lake County,NA,NA,1243136
Kuyper College,MI,"Private not-for-profit, 4-year or above",-85.592657,43.02195,Kent County,NA,NA,1242772
Atlantic Technical College,FL,"Public, 2-year",-80.192271,26.24278,Broward County,NA,NA,1236416
Pacific School of Religion,CA,"Private not-for-profit, 4-year or above",-122.263331,37.876599,Alameda County,NA,NA,1235123
Emmaus Bible College,IA,"Private not-for-profit, 4-year or above",-90.705921,42.509041,Dubuque County,NA,NA,1234729
CES College,CA,"Private not-for-profit, less-than 2-year",-118.303297,34.180401,Los Angeles County,NA,NA,1231379
Everest College-Thornton,CO,"Private not-for-profit, 2-year",-104.985441,39.86156,Adams County,NA,NA,1226451
Schuyler Steuben Chemung Tioga Allegany BOCES,NY,"Public, less-than 2-year",-76.839771,42.150743,Chemung County,NA,NA,1207808
Polaris Career Center,OH,"Public, less-than 2-year",-81.832474,41.3644,Cuyahoga County,NA,NA,1204305
Visible Music College,TN,"Private not-for-profit, 4-year or above",-90.049221,35.14455,Shelby County,NA,NA,1201060
Columbiana County Career and Technical Center,OH,"Public, less-than 2-year",-80.748402,40.764237,Columbiana County,NA,NA,1190342
Chester County Intermediate Unit,PA,"Public, less-than 2-year",-75.680728,40.005928,Chester County,NA,NA,1189853
Marion Technical College,FL,"Public, 2-year",-82.147877,29.178271,Marion County,NA,NA,1182425
South Florida Bible College and Theological Seminary,FL,"Private not-for-profit, 4-year or above",-80.092541,26.30377,Broward County,NA,NA,1181823
Genesee Valley BOCES-Practical Nursing Program,NY,"Public, less-than 2-year",-78.182909,43.014665,Genesee County,NA,NA,1177798
Franklin Technology-MSSU,MO,"Public, less-than 2-year",-94.459584,37.097008,Jasper County,NA,NA,1163528
WestMed College,CA,"Private not-for-profit, less-than 2-year",-121.947677,37.3175,Santa Clara County,NA,NA,1158749
Shepherd University,CA,"Private not-for-profit, 4-year or above",-118.248521,34.11673,Los Angeles County,NA,NA,1152741
Simmons College of Kentucky,KY,"Private not-for-profit, 4-year or above",-85.764811,38.239519,Jefferson County,NA,NA,1135855
New York College of Traditional Chinese Medicine,NY,"Private not-for-profit, 4-year or above",-73.638911,40.73945,Nassau County,NA,NA,1135595
