"source","target","value"
"University of Massachusetts-Dartmouth","Science, Engineering, and Mathematics",3213708
"University of Massachusetts-Dartmouth","Education",1023626
"University of Massachusetts-Dartmouth","Regional Development",600000
"University of Massachusetts-Dartmouth","Nursing and Health Professionals",319892
"University of Massachusetts-Dartmouth","Medical R&D",123234
"University of Massachusetts-Lowell","Science, Engineering, and Mathematics",9735667
"University of Massachusetts-Lowell","Medical R&D",5244685
"University of Massachusetts-Lowell","PROFESSIONAL SERVICES",4753753.28
"University of Massachusetts-Lowell","Occupational Safety",3113459
"University of Massachusetts-Lowell","Defense R&D",1970442
"University of Memphis","Medical R&D",4912337
"University of Memphis","Education",3813079
"University of Memphis","Science, Engineering, and Mathematics",1931367
"University of Memphis","Environmental R&D",1036525.03
"University of Memphis","Medical R&D (Infectious Diseases)",714561
"University of Miami","Medical R&D",107668534
"University of Miami","Science, Engineering, and Mathematics",43957872.22
"University of Miami","Research Support Programs",14702685
"University of Miami","Medical R&D (Infectious Diseases)",13089719
"University of Miami","Social Wellness and Development",9725464
"University of Michigan-Ann Arbor","Medical R&D",499503507
"University of Michigan-Ann Arbor","Science, Engineering, and Mathematics",121811363.12
"University of Michigan-Ann Arbor","Early Childhood Programs",29957512
"University of Michigan-Ann Arbor","Education",29519143.03
"University of Michigan-Ann Arbor","Medical R&D (Infectious Diseases)",27519918
"University of Minnesota-Duluth","Science, Engineering, and Mathematics",2750504
"University of Minnesota-Duluth","Medical R&D",456187
"University of Minnesota-Duluth","Medical R&D (Infectious Diseases)",441438
"University of Minnesota-Duluth","Education",361984
"University of Minnesota-Duluth","MANAGEMENT SUPPORT SERVICES",12000
"University of Minnesota-Morris","Education",803770
"University of Minnesota-Morris","Research Support Programs",242136
"University of Minnesota-Morris","Science, Engineering, and Mathematics",45170
"University of Minnesota-Twin Cities","Medical R&D",215680467
"University of Minnesota-Twin Cities","Science, Engineering, and Mathematics",79186411.25
"University of Minnesota-Twin Cities","Agriculture and Farming R&D",22298401.39
"University of Minnesota-Twin Cities","Medical R&D (Infectious Diseases)",22122211
"University of Minnesota-Twin Cities","Early Childhood Programs",19992287
"University of Mississippi","Medical R&D",9296062
"University of Mississippi","Food and Nutrition",8008976.86
"University of Mississippi","Science, Engineering, and Mathematics",5714950
"University of Mississippi","Agriculture and Farming",4616950
"University of Mississippi","MEDICAL R&D",3499267
"University of Mississippi Medical Center","Medical R&D",26135646
"University of Mississippi Medical Center","MEDICAL R&D",8306842.84
"University of Mississippi Medical Center","Early Childhood Programs",3949119
"University of Mississippi Medical Center","Healthcare Services",2747320
"University of Mississippi Medical Center","Homeland Security",1999998
"University of Missouri-Columbia","Medical R&D",43040123
"University of Missouri-Columbia","Science, Engineering, and Mathematics",18581245.2
"University of Missouri-Columbia","Education",13511403.67
"University of Missouri-Columbia","Defense R&D",6973060
"University of Missouri-Columbia","Public Health",5060715
"University of Missouri-Kansas City","DEFENSE (OTHER) R&D",7728051
"University of Missouri-Kansas City","Medical R&D",4219705
"University of Missouri-Kansas City","Nursing and Health Professionals",2893993
"University of Missouri-Kansas City","Addiction and Recovery",2413277
"University of Missouri-Kansas City","Individuals with Disabilities",1365368
"University of Missouri-St Louis","Science, Engineering, and Mathematics",2308972
"University of Missouri-St Louis","Medical R&D",1950152
"University of Missouri-St Louis","Nursing and Health Professionals",1020203
"University of Missouri-St Louis","Addiction and Recovery",908354
"University of Missouri-St Louis","Education",549764
"University of Montevallo","Education",4971448.14
"University of Montevallo","Research Support Programs",254243
"University of Mount Olive","Education",658958
"University of Nebraska at Kearney","Education",314579
"University of Nebraska at Kearney","Science, Engineering, and Mathematics",230932
"University of Nebraska at Kearney","Occupational Safety",90278
"University of Nebraska at Omaha","Medical and Federal Benefits",4453317
"University of Nebraska at Omaha","Education",4154412.85
"University of Nebraska at Omaha","Medical R&D",1994817
"University of Nebraska at Omaha","Business",1696801
"University of Nebraska at Omaha","Science, Engineering, and Mathematics",1451075
"University of Nebraska Medical Center","Medical R&D",59758189
"University of Nebraska Medical Center","Medical R&D (Infectious Diseases)",10213561
"University of Nebraska Medical Center","Social Wellness and Development",9150490
"University of Nebraska Medical Center","Early Childhood Programs",4152320
"University of Nebraska Medical Center","Addiction and Recovery",3994696
"University of Nebraska-Lincoln","Science, Engineering, and Mathematics",22574121.09
"University of Nebraska-Lincoln","Medical R&D",13185719
"University of Nebraska-Lincoln","Education",9517301.73
"University of Nebraska-Lincoln","Energy Programs",7714729.01
"University of Nebraska-Lincoln","Agriculture and Farming R&D",7585472.24
"University of Nevada-Las Vegas","Education",11881482
"University of Nevada-Las Vegas","Medical R&D",9023504
"University of Nevada-Las Vegas","Science, Engineering, and Mathematics",6503684.19
"University of Nevada-Las Vegas","Transportation",1416900
"University of Nevada-Las Vegas","Environment",1200000
"University of Nevada-Reno","Medical R&D",21204637
"University of Nevada-Reno","Science, Engineering, and Mathematics",13937279.16
"University of Nevada-Reno","Agriculture and Farming R&D",9008953
"University of Nevada-Reno","Education",4023607.91
"University of Nevada-Reno","Childcare and Welfare",2673601
"University of New England","Medical R&D",2819115
"University of New England","Nursing and Health Professionals",2387253
"University of New England","Energy Programs",1119880.8
"University of New England","Science, Engineering, and Mathematics",487118
"University of New England","EDUCATION & TRAINING SERVICES",475889.23
"University of New Hampshire-Main Campus","Science, Engineering, and Mathematics",28623235.09
"University of New Hampshire-Main Campus","Communications and GIS",7223435
"University of New Hampshire-Main Campus","Education",6662405.84
"University of New Hampshire-Main Campus","Medical R&D",4155694
"University of New Hampshire-Main Campus","Individuals with Disabilities",4093104
"University of New Haven","Social Wellness and Development",438246
"University of New Haven","Science, Engineering, and Mathematics",269463
"University of New Haven","MANAGEMENT SUPPORT SERVICES",4999
"University of New Mexico-Main Campus","Medical R&D",45982404
"University of New Mexico-Main Campus","Science, Engineering, and Mathematics",26667921.34
"University of New Mexico-Main Campus","Medical R&D (Infectious Diseases)",7066477
"University of New Mexico-Main Campus","Education",7066032.36
"University of New Mexico-Main Campus","Addiction and Recovery",6605402
"University of New Mexico-Taos Campus","Education",545945
"University of New Mexico-Valencia County Campus","Education",1668028
"University of New Orleans","Education",3632857.74
"University of New Orleans","Science, Engineering, and Mathematics",792509
"University of New Orleans","Fisheries",299728
"University of New Orleans","Individuals with Disabilities",249992
"University of New Orleans","Research Support Programs",242136
"University of North Alabama","Nursing and Health Professionals",621384
"University of North Alabama","Historic Sites",373084
"University of North Alabama","Occupational Safety",49999
"University of North Carolina at Asheville","Medical R&D",289505
"University of North Carolina at Asheville","Environment",76800
"University of North Carolina at Asheville","Wildlife",30380
"University of North Carolina at Asheville","Science, Engineering, and Mathematics",27000
"University of North Carolina at Asheville","PROFESSIONAL SERVICES",16537
"University of North Carolina at Chapel Hill","Medical R&D",315430457
"University of North Carolina at Chapel Hill","Medical R&D (Infectious Diseases)",67058048
