source,target,value,type
Transition Programs for Students with Intellectual Disabilities into Higher Education,University of Rochester,500000,grant
Transition Programs for Students with Intellectual Disabilities into Higher Education,Georgia State University,499814,grant
Transition Programs for Students with Intellectual Disabilities into Higher Education,University of Hawaii at Manoa,499771,grant
"Translation and Implementation Science Research for Heart, Lung, Blood Diseases, and Sleep Disorders",University of California-Los Angeles,1492352,research
"Translation and Implementation Science Research for Heart, Lung, Blood Diseases, and Sleep Disorders",Yale University,1380725,research
"Translation and Implementation Science Research for Heart, Lung, Blood Diseases, and Sleep Disorders",University of Colorado Denver/Anschutz Medical Campus,1345553,research
"Translation and Implementation Science Research for Heart, Lung, Blood Diseases, and Sleep Disorders",Duke University,782106,research
"Translation and Implementation Science Research for Heart, Lung, Blood Diseases, and Sleep Disorders",Emory University-Oxford College,759458,research
TRANSPORT VESSELS-PASSENGER & TROOP,University of Connecticut,70400,contract
TRANSPORT VESSELS-PASSENGER & TROOP,Clatsop Community College,24000,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR CHARTER,Case Western Reserve University,18813.72,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AMBULANCE,University of Alabama at Birmingham,240200.25,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AMBULANCE,Lester E Cox Medical Center-School of Medical Technology,2091.74,contract
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",Columbus State University,121286.5,contract
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",SUNY Maritime College,76279.3,contract
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",Wake Forest University,72262.6,contract
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",University of Virginia,49081.11,contract
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",Texas State University,34710,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MOTOR PASSENGER,Yale University,94400,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MOTOR PASSENGER,University of Utah,72588,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MOTOR PASSENGER,University of New Hampshire-Main Campus,134.4,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER,University of Delaware,377712,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER,University of Georgia,80214,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER,Humboldt State University,75600,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER,University of Connecticut,23616,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER,Stockton University,23010,contract
TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MOTOR CHARTER,University of Maryland-College Park,1055.03,contract
TRASH/GARBAGE COLLECTION,University of Wisconsin-Madison,14530.5,contract
TRASH/GARBAGE COLLECTION,Colorado State University-Fort Collins,7057,contract
TRASH/GARBAGE COLLECTION,University of Minnesota-Twin Cities,2493.84,contract
Traumatic Brain Injury State Demonstration Grant Program,University of Oregon,299153,grant
Traumatic Brain Injury State Demonstration Grant Program,West Virginia University,289438,grant
Traumatic Brain Injury State Demonstration Grant Program,University of Massachusetts-Boston,250777,grant
Traumatic Brain Injury State Demonstration Grant Program,University of Alaska Anchorage,150000,grant
Traumatic Brain Injury State Demonstration Grant Program,University of Arkansas for Medical Sciences,150000,grant
Tribal Colleges Education Equity Grants,Sisseton Wahpeton College,202294,grant
Tribal Colleges Education Equity Grants,Oglala Lakota College,101149,grant
Tribal Colleges Education Equity Grants,Aaniiih Nakoda College,101147,grant
Tribal Colleges Education Equity Grants,Bay Mills Community College,101147,grant
Tribal Colleges Education Equity Grants,Blackfeet Community College,101147,grant
Tribal Courts,University of Oklahoma-Norman Campus,50000,grant
"Tribal Maternal, Infant, and Early Childhood Home Visiting",University of Colorado Denver/Anschutz Medical Campus,650000,grant
Tribally Controlled Community College Endowments,Sitting Bull College,2147644,grant
Tribally Controlled Community College Endowments,Northwest Indian College,1199224,grant
Tribally Controlled Community College Endowments,Salish Kootenai College,832134,grant
Tribally Controlled Community College Endowments,Blackfeet Community College,447580,grant
Tribally Controlled Community College Endowments,Turtle Mountain Community College,428194,grant
Tribally Controlled Postsecondary Career and Technical Institutions ,Navajo Technical University,6928130,grant
Tribally Controlled Postsecondary Career and Technical Institutions ,United Tribes Technical College,3956316,grant
TRIO Educational Opportunity Centers,University of Wyoming,783486.83,grant
TRIO Educational Opportunity Centers,Community College of Denver,762262.56,grant
TRIO Educational Opportunity Centers,University of Maine,749092,grant
TRIO Educational Opportunity Centers,Morehead State University,747883,grant
TRIO Educational Opportunity Centers,Trident Technical College,634290,grant
TRIO McNair Post-Baccalaureate Achievement,University of Wisconsin-La Crosse,489958,research
TRIO McNair Post-Baccalaureate Achievement,University of Idaho,473143,research
TRIO McNair Post-Baccalaureate Achievement,University of California-Berkeley,404754,research
TRIO McNair Post-Baccalaureate Achievement,SUNY College at Brockport,328796,research
TRIO McNair Post-Baccalaureate Achievement,Pennsylvania State University,326309,research
TRIO Staff Training Program,Sonoma State University,549129.92,grant
TRIO Staff Training Program,University of Central Oklahoma,454006,grant
TRIO Staff Training Program,University of Nevada-Las Vegas,454006,grant
TRIO Staff Training Program,Colorado State University-Fort Collins,275155,grant
TRIO Staff Training Program,Pennsylvania State University,275155,grant
TRIO Student Support Services,University of Louisiana at Lafayette,1648132,grant
TRIO Student Support Services,University of South Carolina-Beaufort,1534639,grant
TRIO Student Support Services,Hibbing Community College,1526836,grant
TRIO Student Support Services,University of Central Oklahoma,1465036,grant
TRIO Student Support Services,Reedley College,1241038,grant
TRIO Talent Search,University of Nevada-Las Vegas,1414595,grant
TRIO Talent Search,University of California-Davis,1124571.18,grant
TRIO Talent Search,The University of Texas Rio Grande Valley,1043735.65,grant
TRIO Talent Search,University of Louisiana at Lafayette,1017498.49,grant
TRIO Talent Search,University of Arkansas,995308.36,grant
TRIO Upward Bound,The University of Texas Rio Grande Valley,4253430.3,grant
TRIO Upward Bound,University of Nevada-Las Vegas,2696397,grant
TRIO Upward Bound,Hinds Community College,2521231,grant
TRIO Upward Bound,Sonoma State University,2490313,grant
TRIO Upward Bound,Southeastern Louisiana University,2461498,grant
Troops to Teachers Grant Program,Citadel Military College of South Carolina,10925,grant
"Tuberculosis Demonstration, Research, Public and Professional Education",Rutgers University-New Brunswick,1347010,grant
"Tuberculosis Demonstration, Research, Public and Professional Education",University of California-San Francisco,1347010,grant
"Tuberculosis Demonstration, Research, Public and Professional Education",University of Florida,1347010,grant
"Tuberculosis Demonstration, Research, Public and Professional Education",University of Texas Health Science Center at Tyler,1347010,grant
U.S. Ambassadors Fund for Cultural Preservation,University of Pennsylvania,2000000,grant
U.S. Ambassadors Fund for Cultural Preservation,Florida Atlantic University,110000,grant
U.S. Geological Survey Research and Data Collection,California State University-Sacramento,3709708.92,grant
U.S. Geological Survey Research and Data Collection,University of Arizona,1590940.33,grant
U.S. Geological Survey Research and Data Collection,University of Hawaii at Hilo,1509264.28,grant
U.S. Geological Survey Research and Data Collection,University of California Office of the President,1507690,grant
U.S. Geological Survey Research and Data Collection,Colorado State University-Fort Collins,1442842.04,grant
U.S. Nuclear Regulatory Commission Minority Serving Institutions Program (MSIP),The University of Texas at El Paso,202000,research
U.S. Nuclear Regulatory Commission Minority Serving Institutions Program (MSIP),University of Houston,185000,research
U.S. Nuclear Regulatory Commission Minority Serving Institutions Program (MSIP),University of Nevada-Las Vegas,130000,research
U.S. Nuclear Regulatory Commission Minority Serving Institutions Program (MSIP),Texas College,99095.6,research
U.S. Nuclear Regulatory Commission Minority Serving Institutions Program (MSIP),Universidad Politecnica de Puerto Rico,79904.4,research
U.S. Nuclear Regulatory Commission Office of Research Financial Assistance Program,University of Florida,342036,research
U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program,Clemson University,976613,grant
U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program,Pennsylvania State University,850000,grant
U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program,Virginia Commonwealth University,850000,grant
U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program,Massachusetts Institute of Technology,849999.92,grant
U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program,Missouri University of Science and Technology,650000,grant
Unallied Industry Projects,University of Hawaii at Manoa,414997.53,research
Unallied Industry Projects,University of Guam,24979,research
Unallied Management Projects,University of Florida,245946,grant
Unallied Management Projects,Texas A & M University-Corpus Christi,187515,grant
Unallied Management Projects,University of Hawaii at Manoa,62000,grant
Unallied Management Projects,Pacific Northwest College of Art,9000,grant
Unallied Science Program,University of Hawaii at Manoa,287656,grant
Unallied Science Program,University of Maine,234627,grant
Unallied Science Program,University of Alaska Fairbanks,200000,grant
Unallied Science Program,College of William and Mary,198000,grant
Unallied Science Program,Duke University,189899,grant
Undergraduate International Studies and Foreign Language Programs,University of Central Missouri,139733,grant
Undergraduate International Studies and Foreign Language Programs,Western Illinois University,136899,grant
Undergraduate International Studies and Foreign Language Programs,Western Michigan University,129003,grant
Undergraduate International Studies and Foreign Language Programs,Rutgers University-Camden,123679,grant
Undergraduate International Studies and Foreign Language Programs,Cornell University,114000,grant
Uniformed Services University Medical Research Projects,Boston University,3335996,research
Uniformed Services University Medical Research Projects,University of Washington,572858,research
Uniformed Services University Medical Research Projects,Washington State University,443007,research
Universal Newborn Hearing Screening,Utah State University,1660000,grant
Universal Newborn Hearing Screening,University of Hawaii at Manoa,499999,grant
Universal Newborn Hearing Screening,University of Guam,247577,grant
Universal Newborn Hearing Screening,Minot State University,245165,grant
Universal Newborn Hearing Screening,University of Colorado Denver/Anschutz Medical Campus,240289,grant
"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",University of Kentucky,1270000,research
"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",University of Hawaii at Manoa,1140000,research
"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",Georgetown University,667546,research
"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",Georgia State University,620000,research
"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",Minot State University,620000,research
University Transportation Centers Program,Carnegie Mellon University,2833700,grant
University Transportation Centers Program,Portland State University,2833700,grant
University Transportation Centers Program,University of California-Davis,2833700,grant
University Transportation Centers Program,University of North Carolina at Chapel Hill,2833700,grant
University Transportation Centers Program,Virginia Polytechnic Institute and State University,2833700,grant
Upper Colorado and San Juan River Basins Endangered Fish Recovery ,Colorado State University-Fort Collins,1222470,grant
Upper Colorado and San Juan River Basins Endangered Fish Recovery ,Utah State University,446913,grant
Upper Colorado and San Juan River Basins Endangered Fish Recovery ,University of New Mexico-Main Campus,210780.29,grant
Upper Mississippi River System Long Term Resource Monitoring ,University of Illinois at Urbana-Champaign,789917,grant
Upper Mississippi River System Long Term Resource Monitoring ,University of Wisconsin-La Crosse,393894,grant
Urban and Community Forestry Program,Pennsylvania State University,400000,grant
Urban and Community Forestry Program,University of Colorado Denver/Anschutz Medical Campus,142219,grant
Urban and Community Forestry Program,The University of Tennessee-Knoxville,92143,grant
Urban and Community Forestry Program,University of Georgia,52000,grant
Urban and Community Forestry Program,University of Guam,42611.31,grant
UROLOGY SERVICES,The University of Texas Health Science Center at San Antonio,1777699.2,contract
UROLOGY SERVICES,University of Texas Southwestern Medical Center,856963.95,contract
UROLOGY SERVICES,University of Missouri-Columbia,261479.24,contract
UROLOGY SERVICES,Yale University,88052.4,contract
UROLOGY SERVICES,University of Kansas,52955.25,contract
