"source","target","value"
"Virginia Union University","National Science Foundation",699773
"Virginia Union University","National Park Service",500000
"Virginia University of Lynchburg","Department of Education",750000
"Virginia Western Community College","Department of Education",309505
"Viterbo University","Department of Education",731900
"Viterbo University","Health Resources and Services Administration",408656
"Viterbo University","U.S. Geological Survey",13785.38
"Volunteer State Community College","Department of Education",254356
"Volunteer State Community College","Rural Utilities Service",102000
"Voorhees College","Department of Education",2425044
"Voorhees College","National Park Service",500000
"Wabash College","National Science Foundation",235749
"Wake Forest University","National Institutes of Health",149946533.7
"Wake Forest University","Department of the Army",12270365.6
"Wake Forest University","Department of Veterans Affairs",4018853.72
"Wake Forest University","Defense Advanced Research Projects Agency",3152915
"Wake Forest University","Centers for Disease Control and Prevention",3059926
"Wake Technical Community College","Department of Education",707441
"Walla Walla Community College","National Science Foundation",649800
"Walla Walla Community College","Department of Education",438971
"Wartburg College","National Endowment for the Humanities",171218
"Washburn University","Health Resources and Services Administration",1396058
"Washburn University","Department of Education",398950
"Washburn University","Rural Utilities Service",349213
"Washington & Jefferson College","Forest Service",15774
"Washington and Lee University","National Science Foundation",178483
"Washington and Lee University","Internal Revenue Service",87500
"Washington and Lee University","National Park Service",32296
"Washington College","National Institute of Standards and Technology",5775
"Washington County Career Center-Adult Technical Training","Department of Education",49997
"Washington County Community College","Department of Education",269295
"Washington State Community College","Department of Education",740240.51
"Washington State University","National Institutes of Health",36427882
"Washington State University","National Institute of Food and Agriculture",23536174.07
"Washington State University","Department of the Army",20910970
"Washington State University","National Science Foundation",19674285
"Washington State University","Department of Energy",15574870.12
"Washington University in St Louis","National Institutes of Health",3515106039.29
"Washington University in St Louis","Centers for Disease Control and Prevention",21375554
"Washington University in St Louis","National Science Foundation",20225716
"Washington University in St Louis","Department of the Army",12375109
"Washington University in St Louis","National Aeronautics and Space Administration",4499377.93
"Waubonsee Community College","Department of Education",1472403
"Wayne Community College","Department of Education",450000
"Wayne County Community College District","Department of Education",427591
"Wayne State College","Department of Education",339067
"Wayne State University","National Institutes of Health",836886105.38
"Wayne State University","Department of the Army",11050493
"Wayne State University","National Science Foundation",7030828
"Wayne State University","Health Resources and Services Administration",4872000
"Wayne State University","Department of Education",2996887
"Weatherford College","Department of Education",589908
"Webb Institute","Department of the Navy",140231
"Weber State University","Department of Education",2097988.52
"Weber State University","National Science Foundation",1083177
"Weber State University","National Institutes of Health",273846
"Weber State University","National Aeronautics and Space Administration",17720
"Weber State University","Forest Service",14990
"Webster University","Department of Education",517716.09
"Webster University","National Institutes of Health",87769
"Webster University","National Endowment for the Arts",15000
"Wellesley College","National Science Foundation",1368248
"Wellesley College","National Institutes of Health",640373
"Wellesley College","Department of Education",242136
"Wellesley College","National Aeronautics and Space Administration",160812
"Wellesley College","National Institute of Standards and Technology",18379
"Wenatchee Valley College","Department of Education",721841
"Wentworth Institute of Technology","National Institutes of Health",352350
